time,Open,High,Low,Close,Volume
31.12.2017 23:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 00:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 01:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 02:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 03:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 04:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 05:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 06:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 07:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 08:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 09:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 10:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 11:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 12:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 13:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 14:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 15:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 16:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 17:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 18:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 19:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 20:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 21:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 22:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 23:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
02.01.2018 00:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
02.01.2018 01:30:00.000 GMT+0430,1.19985,1.19985,1.19985,1.19985,0
02.01.2018 02:30:00.000 GMT+0430,1.20102,1.20166,1.20007,1.20136,1687.29
02.01.2018 03:30:00.000 GMT+0430,1.20137,1.20158,1.20026,1.20106,6885.9302
02.01.2018 04:30:00.000 GMT+0430,1.20105,1.20177,1.20092,1.20160,4362.5298
02.01.2018 05:30:00.000 GMT+0430,1.20159,1.20231,1.20139,1.20154,5860.1899
02.01.2018 06:30:00.000 GMT+0430,1.20153,1.20163,1.20078,1.20095,6161.2598
02.01.2018 07:30:00.000 GMT+0430,1.20095,1.20211,1.20094,1.20119,5952.1802
02.01.2018 08:30:00.000 GMT+0430,1.20118,1.20192,1.20114,1.20173,4694.1899
02.01.2018 09:30:00.000 GMT+0430,1.20174,1.20245,1.20158,1.20245,3880.5901
02.01.2018 10:30:00.000 GMT+0430,1.20244,1.20304,1.20227,1.20286,6069.6899
02.01.2018 11:30:00.000 GMT+0430,1.20285,1.20382,1.20237,1.20361,11059.8203
02.01.2018 12:30:00.000 GMT+0430,1.20362,1.20477,1.20323,1.20446,11295.1797
02.01.2018 13:30:00.000 GMT+0430,1.20449,1.20705,1.20421,1.20705,11237.2402
02.01.2018 14:30:00.000 GMT+0430,1.20704,1.20811,1.20613,1.20684,12801.9902
02.01.2018 15:30:00.000 GMT+0430,1.20684,1.20705,1.20592,1.20593,9292.96
02.01.2018 16:30:00.000 GMT+0430,1.20592,1.20687,1.20567,1.20627,11062.4404
02.01.2018 17:30:00.000 GMT+0430,1.20628,1.20665,1.20561,1.20574,11853.8398
02.01.2018 18:30:00.000 GMT+0430,1.20572,1.20588,1.20354,1.20387,13295.0596
02.01.2018 19:30:00.000 GMT+0430,1.20390,1.20456,1.20262,1.20445,14351.7598
02.01.2018 20:30:00.000 GMT+0430,1.20453,1.20590,1.20436,1.20491,13230.3398
02.01.2018 21:30:00.000 GMT+0430,1.20491,1.20536,1.20412,1.20448,8785.4502
02.01.2018 22:30:00.000 GMT+0430,1.20441,1.20498,1.20418,1.20443,7225.3599
02.01.2018 23:30:00.000 GMT+0430,1.20444,1.20536,1.20431,1.20533,5811
03.01.2018 00:30:00.000 GMT+0430,1.20535,1.20606,1.20517,1.20592,7154.0601
03.01.2018 01:30:00.000 GMT+0430,1.20591,1.20652,1.20545,1.20583,4798.4502
03.01.2018 02:30:00.000 GMT+0430,1.20581,1.20583,1.20552,1.20574,3538.1001
03.01.2018 03:30:00.000 GMT+0430,1.20572,1.20662,1.20570,1.20614,3382.23
03.01.2018 04:30:00.000 GMT+0430,1.20614,1.20638,1.20493,1.20591,5800.98
03.01.2018 05:30:00.000 GMT+0430,1.20592,1.20632,1.20443,1.20530,6346.5298
03.01.2018 06:30:00.000 GMT+0430,1.20530,1.20530,1.20420,1.20423,5479.0898
03.01.2018 07:30:00.000 GMT+0430,1.20424,1.20477,1.20419,1.20467,3929.96
03.01.2018 08:30:00.000 GMT+0430,1.20467,1.20536,1.20464,1.20508,3577.52
03.01.2018 09:30:00.000 GMT+0430,1.20508,1.20592,1.20492,1.20581,4176.7202
03.01.2018 10:30:00.000 GMT+0430,1.20581,1.20604,1.20441,1.20451,6285.1201
03.01.2018 11:30:00.000 GMT+0430,1.20450,1.20490,1.20346,1.20392,11690.4297
03.01.2018 12:30:00.000 GMT+0430,1.20392,1.20429,1.20311,1.20425,11197.6104
03.01.2018 13:30:00.000 GMT+0430,1.20425,1.20434,1.20344,1.20382,8579.2998
03.01.2018 14:30:00.000 GMT+0430,1.20382,1.20405,1.20151,1.20176,11832.6904
03.01.2018 15:30:00.000 GMT+0430,1.20176,1.20189,1.20108,1.20150,10913.6201
03.01.2018 16:30:00.000 GMT+0430,1.20148,1.20236,1.20109,1.20231,9940.0195
03.01.2018 17:30:00.000 GMT+0430,1.20231,1.20344,1.20197,1.20328,11152.8799
03.01.2018 18:30:00.000 GMT+0430,1.20327,1.20328,1.20144,1.20176,11608.75
03.01.2018 19:30:00.000 GMT+0430,1.20177,1.20248,1.20034,1.20236,14180.2598
03.01.2018 20:30:00.000 GMT+0430,1.20234,1.20322,1.20196,1.20298,10201.3701
03.01.2018 21:30:00.000 GMT+0430,1.20299,1.20315,1.20241,1.20271,7101.7002
03.01.2018 22:30:00.000 GMT+0430,1.20271,1.20294,1.20219,1.20270,7499.52
03.01.2018 23:30:00.000 GMT+0430,1.20274,1.20299,1.20011,1.20162,13163.9102
04.01.2018 00:30:00.000 GMT+0430,1.20164,1.20289,1.20102,1.20123,7827.23
04.01.2018 01:30:00.000 GMT+0430,1.20124,1.20158,1.20100,1.20141,4936.9902
04.01.2018 02:30:00.000 GMT+0430,1.20142,1.20160,1.20102,1.20105,3309.2
04.01.2018 03:30:00.000 GMT+0430,1.20105,1.20140,1.20064,1.20107,4200.2598
04.01.2018 04:30:00.000 GMT+0430,1.20108,1.20114,1.20044,1.20099,5588.6201
04.01.2018 05:30:00.000 GMT+0430,1.20099,1.20109,1.20048,1.20077,5328.4902
04.01.2018 06:30:00.000 GMT+0430,1.20078,1.20190,1.20076,1.20178,5889.7998
04.01.2018 07:30:00.000 GMT+0430,1.20176,1.20178,1.20124,1.20143,4299.2598
04.01.2018 08:30:00.000 GMT+0430,1.20143,1.20223,1.20143,1.20179,4944.6201
04.01.2018 09:30:00.000 GMT+0430,1.20179,1.20229,1.20144,1.20191,5306.8198
04.01.2018 10:30:00.000 GMT+0430,1.20190,1.20379,1.20171,1.20278,8811.21
